epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,111.852,1.08434,1.81808,0.01843,0.79037,0.65977,0.87275,0.66018,1.70715,1.22049,0.01256,2.99772e-05,2.99772e-05,2.99772e-05
55,113.884,1.07101,1.32145,0.01095,0.79037,0.65977,0.87275,0.66018,1.70715,1.22049,0.01256,2.99066e-05,2.99066e-05,2.99066e-05
56,115.9,0.83536,1.60745,0.00838,0.79037,0.65977,0.87275,0.66018,1.70715,1.22049,0.01256,2.98125e-05,2.98125e-05,2.98125e-05
57,118.015,0.81713,1.07668,0.0098,0.85689,0.65314,0.87275,0.6739,1.7038,1.21378,0.01244,2.96948e-05,2.96948e-05,2.96948e-05
58,120.031,0.81742,1.09033,0.00761,0.85689,0.65314,0.87275,0.6739,1.7038,1.21378,0.01244,2.95535e-05,2.95535e-05,2.95535e-05
59,122.089,1.10895,1.38166,0.01622,0.85689,0.65314,0.87275,0.6739,1.7038,1.21378,0.01244,2.93887e-05,2.93887e-05,2.93887e-05
60,124.271,1.11824,1.89055,0.01832,0.67112,0.66735,0.87172,0.67004,1.69225,1.27954,0.01298,2.92003e-05,2.92003e-05,2.92003e-05
61,126.3,0.71066,1.10894,0.00773,0.67112,0.66735,0.87172,0.67004,1.69225,1.27954,0.01298,2.89884e-05,2.89884e-05,2.89884e-05
62,128.344,0.89619,0.97682,0.01558,0.67112,0.66735,0.87172,0.67004,1.69225,1.27954,0.01298,2.87529e-05,2.87529e-05,2.87529e-05
63,130.411,1.38823,3.08376,0.02822,0.61427,0.66961,0.79278,0.58149,1.70203,1.33069,0.01312,2.84938e-05,2.84938e-05,2.84938e-05
64,132.463,0.8735,1.28194,0.00817,0.61427,0.66961,0.79278,0.58149,1.70203,1.33069,0.01312,2.82112e-05,2.82112e-05,2.82112e-05
65,134.503,1.0597,1.14439,0.01154,0.61427,0.66961,0.79278,0.58149,1.70203,1.33069,0.01312,2.7905e-05,2.7905e-05,2.7905e-05
66,136.678,0.75307,0.85194,0.01273,0.62513,0.66429,0.78609,0.56989,1.732,1.33824,0.01348,2.75753e-05,2.75753e-05,2.75753e-05
67,138.725,0.88474,0.69847,0.00827,0.62513,0.66429,0.78609,0.56989,1.732,1.33824,0.01348,2.7222e-05,2.7222e-05,2.7222e-05
68,140.763,1.13686,1.48904,0.01329,0.62513,0.66429,0.78609,0.56989,1.732,1.33824,0.01348,2.68451e-05,2.68451e-05,2.68451e-05
69,142.869,0.91732,0.97947,0.01266,0.59597,0.6631,0.78606,0.56764,1.72774,1.38474,0.01366,2.64447e-05,2.64447e-05,2.64447e-05
70,144.916,1.30256,1.97891,0.02068,0.59597,0.6631,0.78606,0.56764,1.72774,1.38474,0.01366,2.60207e-05,2.60207e-05,2.60207e-05
71,146.961,0.8079,0.94479,0.00766,0.59597,0.6631,0.78606,0.56764,1.72774,1.38474,0.01366,2.55731e-05,2.55731e-05,2.55731e-05
72,149.195,0.98433,0.82951,0.0089,0.63261,0.68333,0.78565,0.56746,1.72655,1.35726,0.01361,2.5102e-05,2.5102e-05,2.5102e-05
73,151.221,0.78272,1.18945,0.01019,0.63261,0.68333,0.78565,0.56746,1.72655,1.35726,0.01361,2.46073e-05,2.46073e-05,2.46073e-05
74,153.322,0.92784,1.19349,0.01087,0.63261,0.68333,0.78565,0.56746,1.72655,1.35726,0.01361,2.40891e-05,2.40891e-05,2.40891e-05
75,155.43,1.18497,1.48612,0.02008,0.90646,0.47849,0.78451,0.5672,1.78213,1.3103,0.01441,2.35472e-05,2.35472e-05,2.35472e-05
76,157.482,0.96231,0.87313,0.01134,0.90646,0.47849,0.78451,0.5672,1.78213,1.3103,0.01441,2.29819e-05,2.29819e-05,2.29819e-05
77,159.503,1.02058,0.9871,0.01084,0.90646,0.47849,0.78451,0.5672,1.78213,1.3103,0.01441,2.23929e-05,2.23929e-05,2.23929e-05
78,161.667,1.18022,1.54493,0.01563,0.75719,0.47289,0.75644,0.5422,1.80019,1.37441,0.01489,2.17805e-05,2.17805e-05,2.17805e-05
79,164.137,0.69806,0.76923,0.00767,0.75719,0.47289,0.75644,0.5422,1.80019,1.37441,0.01489,2.11444e-05,2.11444e-05,2.11444e-05
80,166.467,0.91715,0.85502,0.01135,0.75719,0.47289,0.75644,0.5422,1.80019,1.37441,0.01489,2.04848e-05,2.04848e-05,2.04848e-05
81,168.628,0.86659,0.90883,0.01482,0.7714,0.46559,0.75644,0.54216,1.70248,1.47478,0.01414,1.98016e-05,1.98016e-05,1.98016e-05
82,170.642,0.7971,0.53838,0.01272,0.7714,0.46559,0.75644,0.54216,1.70248,1.47478,0.01414,1.90949e-05,1.90949e-05,1.90949e-05
83,172.679,0.96493,1.8863,0.01266,0.7714,0.46559,0.75644,0.54216,1.70248,1.47478,0.01414,1.83646e-05,1.83646e-05,1.83646e-05
84,174.845,0.73551,0.95394,0.0114,0.94067,0.46676,0.74262,0.52513,1.71761,1.57945,0.01465,1.76107e-05,1.76107e-05,1.76107e-05
85,176.869,0.82087,1.35834,0.00921,0.94067,0.46676,0.74262,0.52513,1.71761,1.57945,0.01465,1.68333e-05,1.68333e-05,1.68333e-05
86,178.932,1.15317,1.99223,0.02232,0.94067,0.46676,0.74262,0.52513,1.71761,1.57945,0.01465,1.60323e-05,1.60323e-05,1.60323e-05
87,180.967,1.09786,1.38621,0.01346,0.94067,0.46676,0.74262,0.52513,1.71761,1.57945,0.01465,1.52077e-05,1.52077e-05,1.52077e-05
88,183.069,1.01007,1.31784,0.01457,0.67674,0.48279,0.67382,0.4601,1.73808,1.64737,0.01518,1.43596e-05,1.43596e-05,1.43596e-05
89,185.221,1.18906,1.62763,0.01685,0.67674,0.48279,0.67382,0.4601,1.73808,1.64737,0.01518,1.34879e-05,1.34879e-05,1.34879e-05
90,187.346,0.85891,1.0579,0.0091,0.67674,0.48279,0.67382,0.4601,1.73808,1.64737,0.01518,1.25927e-05,1.25927e-05,1.25927e-05
91,189.829,0.64974,0.50259,0.00915,0.67674,0.48279,0.67382,0.4601,1.73808,1.64737,0.01518,1.16739e-05,1.16739e-05,1.16739e-05
92,192.242,0.5268,0.52582,0.00582,0.59741,0.49797,0.69268,0.49776,1.72396,1.64954,0.01466,1.07315e-05,1.07315e-05,1.07315e-05
93,194.851,0.89053,0.9121,0.01679,0.59741,0.49797,0.69268,0.49776,1.72396,1.64954,0.01466,9.76562e-06,9.76562e-06,9.76562e-06
94,197.754,0.62323,0.50683,0.00628,0.59741,0.49797,0.69268,0.49776,1.72396,1.64954,0.01466,8.77613e-06,8.77613e-06,8.77613e-06
95,200.171,1.13393,0.90594,0.01905,0.59741,0.49797,0.69268,0.49776,1.72396,1.64954,0.01466,7.76308e-06,7.76308e-06,7.76308e-06
96,202.7,0.79586,0.54918,0.01188,0.56269,0.49796,0.67796,0.49339,1.83842,1.50896,0.01562,6.72648e-06,6.72648e-06,6.72648e-06
97,205.256,0.64355,0.40681,0.00703,0.56269,0.49796,0.67796,0.49339,1.83842,1.50896,0.01562,5.6663e-06,5.6663e-06,5.6663e-06
98,207.49,0.79421,0.6171,0.01455,0.56269,0.49796,0.67796,0.49339,1.83842,1.50896,0.01562,4.58257e-06,4.58257e-06,4.58257e-06
99,209.592,0.84816,0.58495,0.00988,0.56269,0.49796,0.67796,0.49339,1.83842,1.50896,0.01562,3.47528e-06,3.47528e-06,3.47528e-06
100,212.104,0.68941,0.6072,0.00677,0.5694,0.50028,0.71627,0.51696,1.79066,1.4742,0.01476,2.34442e-06,2.34442e-06,2.34442e-06
